uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
37,Pueblos indígenas,Establece representación y participación política de pueblos originarios,"Para ellos, estamos impulsando una reforma constitucional que reconoce a Chile como un país multicultural. Además, hemos reformado la política de entrega de tierras, eliminando la discrecionalidad, acompañándola de capacitación y recursos para asegurar el real progreso de nuestros pueblos originarios.",40%,1,40%,1,5324-07,Proyecto de reforma constitucional que reconoce el aporte de los pueblos originarios a la conformación de la nación chilena.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5710&prmBoletin=5324-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
37,Pueblos indígenas,Establece representación y participación política de pueblos originarios,,,,40%,1,5522-07,Reconoce a los pueblos indígenas de Chile.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5903&prmBoletin=5522-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
38,Salud,Crea la Ley de Fármacos y Bioequivalencia,"Primero, la Ley de Fármacos y Bioequivalencia, que impedirá a los médicos recetar solo remedios de marca cuando exista una alternativa equivalente y más barata. Y también exigirá a los laboratorios la venta unitaria de medicamentos, para evitar que los usuarios deban comprar una caja entera cuando solo necesitan algunas dosis.",70%,1,,,6331-11,Establece un precio fijo de venta para los productos farmacéuticos que componen el Formulario Nacional de Medicamentos.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6720&prmBoletin=6331-11,,,,1,,,,,,Segundo Tramite,"0,7",5,16,,21,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
39,Salud,Autoriza la venta de medicamentos en establecimientos comerciales,"El segundo proyecto autoriza la venta de medicamentos que no requieran receta médica, en supermercados y almacenes. Ambos significarán una rebaja en los precios de los medicamentos del orden del 20 o 25 por ciento, y un importante alivio al presupuesto familiar.",0%,1,,,7274-11,Autoriza la venta de medicamentos que tengan la condición de venta directa en establecimientos comerciales que cumplan los requisitos que indica.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7674&prmBoletin=7274-11,,,,,,,,,1,Rechazado Retirado,0,,2,,2,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
40,Salud,Crea plan básico obligatorio para las ISAPRES,"Enviamos un proyecto de ley que crea ese plan básico (de salud privada), con una tarifa única común para los afiliados de cada isapre, facilita la comparación de precios y permite el libre cambio de los usuarios entre isapres, sin restricciones por carencias o preexistencias.",70%,1,,,8105-11,"Modifica el Sistema Privado de Salud, incorporando un plan garantizado.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8504&prmBoletin=8105-11,,,,1,,,,,,Segundo Tramite,"0,7",3,10,1,14,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
41,Transporte y Telecomunicaciones,Introducción de TV digital en Chile,(...) y seguimos avanzando en el campo técnico y legislativo para que la televisión digital gratuita y de alta definición llegue a todo Chile.,70%,1,,,6190-19,Permite la introducción de la televisión digital terrestre.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6579&prmBoletin=6190-19,,,,1,,,,,,Segundo Tramite,"0,7",,19,,19,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
42,Transporte y Telecomunicaciones,Crea un subsidio permanente al Transantiago,Sin el proyecto de ley que establece un subsidio permanente para el transporte público de Santiago y regiones. La tarifa actual del Transantiago subiría $ 100 este año. Con esto vamos a estabilizar financieramente el sistema y evitar futuras alzas en las tarifas derivadas de su déficit operacional.,70%,1,,,8289-15,"Modifica la Ley N° 20.378 que crea un subsidio nacional al transporte público remunerado de pasajeros, incrementando los recursos del subsidio y creando el fondo de apoyo regional (FAR).",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8678&prmBoletin=8289-15,,,,1,,,,,,Segundo Tramite,"0,7",1,17,1,19,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
43,Vivienda y Urbanismo,Nuevas exigencias respecto a la calidad de la construcción de las viviendas,"Respecto de la calidad de las viviendas, presentamos un proyecto de ley que establece nuevas exigencias y mayores sanciones para aquellos constructores inescrupulosos que las incumplan",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
44,Educación,Nuevo sistema de Créditos en la educación superior,"Estamos creando un nuevo sistema de créditos muy superior al que recibimos. Este sistema estará disponible para todos los jóvenes con mérito, con excepción de aquellos pertenecientes al diez por ciento de los hogares de mayores ingresos.",40%,1,,,8369-04,Crea un sistema de financiamiento para la educación superior.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8766&prmBoletin=8369-04,1,,,,,,,,,,"0,4",8,3,,11,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
45,Educación,Reprogramación de deudores de créditos universitarios,"El segundo semestre de este año entrará en vigencia la ley que permite a más de 110 mil deudores morosos del Fondo Solidario para la educación  superior reprogramar y de 110 mil deudores morosos del Fondo Solidario para la educación superior reprogramar y reducir sus deudas, salir del Dicom y tener una nueva oportunidad en el mundo laboral.",100%,1,,,7874-04,Proyecto de ley sobre reprogramación de créditos universitarios.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8269&prmBoletin=7874-04,,,,,,,,1,,,1,,,,0,,,,,1,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
46,Educación,Crea la Superintendencia de Educación Superior,"Tan pronto este Congreso apruebe la nueva Superintendencia de Educación Superior, ella velará por la calidad, buen uso de recursos públicos y cumplimiento de la ley, por parte de universidades, institutos y centros de formación técnica",40%,1,,,8041-04,Crea la Superintendencia de Educación Superior.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8447&prmBoletin=8041-04,1,,,,,,,,,,"0,4",1,17,,18,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
47,Transporte y Telecomunicaciones,Creación de Política Nacional Satelital,"Estamos trabajando en una política nacional satelital y en un proyecto de satélite de telecomunicaciones, geoestacionario,que nos permitirá un salto adelante en materia de comunicaciones, control de nuestras fronteras,mares y territorios, mayor integración territorial y mayor seguridad externa e interna.",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
48,Trabajo y Previsión social,Eliminación de multiRut,Junto al Congreso estamos legislando para evitar que el multiRut se utilice para desconocer los derechos laborales,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
