uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
10,Democracia,"Permite a la grupos ciudadanos presentar proyectos de ley, bajo ciertas condiciones",Para eso enviamos el proyecto que establece (...) la iniciativa popular de Ley,40%,1,,,7206-07,Establece la iniciativa ciudadana de ley.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7604&prmBoletin=7206-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
11,Democracia,Modifica la Ley de Partidos Políticos,"Además, prontamente enviaremos un proyecto que reforma la Ley de Partidos Políticos, para hacerlos más transparentes, participativos y representativos.",40%,1,,,8937-06,Modifica la Ley Orgánica Constitucional de Partidos Políticos.       ,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9345&prmBoletin=8937-06,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
12,Democracia,Regulación del lobby y fortalecimiento de la probidad pública y transparencia,"Esta semana enviaremos una iniciativa para fortalecer la probidad pública, la transparencia y regular el lobby.",58%,1,70%,1,7616-06,Probidad en la Función Pública.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,,,,1,,,,,,Segundo Tramite,"0,7",4,10,,14,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
12,Democracia,Regulación del lobby y fortalecimiento de la probidad pública y transparencia,,,,40%,1,5898-07,"Regula obligación de ciertas autoridades públicas de constituir un mandato especial de administación ciega de patrimonio y de enajenar activos, en los casos y forma que indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=6299&prmBoletin=5898-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
12,Democracia,Regulación del lobby y fortalecimiento de la probidad pública y transparencia,,,,40%,1,7185-07,"Modifica ley N° 18.575, Orgánica Constitucional de Bases Generales de la Administración del Estado, en lo referente a la declaración de intereses y de patrimonio.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7584&prmBoletin=7185-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
12,Democracia,Regulación del lobby y fortalecimiento de la probidad pública y transparencia,,,,70%,1,7686-07,Modifica la Ley de Transparencia de la Función Pública y de Acceso a la Información de la Administración del Estado.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8086&prmBoletin=7686-07,,,,1,,,,,,Segundo Tramite,"0,7",7,6,,13,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
12,Democracia,Regulación del lobby y fortalecimiento de la probidad pública y transparencia,,,,70%,1,6189-06,Establece normas sobre la actividad de lobby.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6577&prmBoletin=6189-06,,,,1,,,,,,Segundo Tramite,"0,7",7,10,,17,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
13,Democracia,Establece la elección directa de Consejeros Regionales (CORES),"Finalmente, estamos impulsando la elección directa de los consejeros regionales y facilitando la realización de plebiscitos comunales y consultas ciudadanas.",70%,1,,,7923-06,Establece elección directa de los Consejeros Regionales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8317&prmBoletin=7923-06,,,,1,,,,,,Segundo Tramite,"0,7",,10,2,12,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
14,Deporte,Crea el Ministerio del Deporte,Ya presentamos al Congreso Nacional el proyecto de ley que crea el Ministerio del Deporte.,70%,1,,,8085-29,Crea el Ministerio del Deporte,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8484&prmBoletin=8085-29,,,,1,,,,,,Segundo Tramite,"0,7",2,14,1,17,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
15,Desarrollo social,Bono solidario de alimentos.,Este mes enviaré al Congreso Nacional un proyecto de ley para otorgar un Bono Solidario de Alimentos para aliviar el presupuesto familiar,100%,1,,,8337-05,Concede bono solidario de alimentos a los beneficiarios que indica.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8735&prmBoletin=8337-05,,,,,,,,1,,Promulgado,1,,,2,2,,,,,1,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
