uid,area,titulo,promesa,avance_total,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
29,Infancia y Juventud,Ley de Adopciones,"Enviaremos la nueva Ley de Adopciones, cuyos objetivos básicos son, por una parte, agilizar el proceso de adopción",70%,9119-18 ,Reforma integral al sistema de adopciones,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9119-18,,,,1,,,,,,Segundo Tramite,"0,7",11,5,,16,El proyecto de ley asociado se encuentra en segundo trámite constitucional
30,Trabajo y Previsión Social,"Derecho universal a Sala Cuna para los hijos de madres trabajadoras dependientes, o padres al cuidado de sus hijos","Presentaremos un proyecto de Ley que garantizará el derecho universal a la Sala Cuna para todos los hijos de madres trabajadoras dependientes, o padres al cuidado de sus hijos.",40%,12026-13,"Crea el beneficio social de
 educación en el nivel de
 sala cuna, financiado por
 un fondo solidario.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12026-13,1,,,,,,,,,Primer Tramite,"0,4",1,11,,12,El proyecto de ley asociado se encuentra en primer trámite constitucional
31,Educación,Acceso universal y gratuito a la educación temprana,"Avanzar hacia un acceso universal y gratuito a la educación temprana, incluyendo las salas cunas, los jardines infantiles y la educación pre escolar, para todos nuestros niños.  ",70%,12118-04,Modifica la ley General de Educación con el objeto de establecer la obligatoriedad del segundo nivel de transición de Educación Parvularia,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12118-04,,,,1,,,,,,Segundo Tramite,"0,7",2,5,,7,El proyecto de ley asociado se encuentra en segundo trámite constitucional
32,Educación,Nuevo Sistema Único de Créditos,"Enviaremos al Congreso un Proyecto de Ley que crea un nuevo Sistema Único de Créditos, más justo y solidario para los estudiantes de instituciones acreditadas de Educación Superior, que sustituirá al actual Crédito con Aval del Estado (CAE) y al Fondo Solidario de Crédito Universitario.",40%,11616-04,Crea el Crédito Estatal para la educación superior,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11616-04,1,,,,,,,,,Primer Tramite,"0,4",0,0,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
33,Salud,Modernización de Fonasa,"Iniciaremos la modernización de Fonasa, avanzando hacia un nuevo seguro social de salud, que mejore los servicios recibidos por los pacientes y la eficiencia del gasto en salud.",40%,12588-11,Fortalece las facultades del Fondo Nacional de Salud,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12588-11,1,,,,,,,,,Primer Tramite,"0,4",1,1,,2,El proyecto de ley asociado se encuentra en primer trámite constitucional
34,Salud,Reforma al sistema de Isapres,"Reformaremos el sistema de Isapres, avanzando hacia un sistema más solidario que permita avanzar hacia el fin a las prexistencias y discriminaciones en el acceso y costos de la salud,que afectan hoy a las mujeres y adulto mayores y evite que la responsabilidad de la maternidad recaiga únicamente e injustamente en las mujeres, sino que se distribuya más equitativamente.  ",70%,8105-11,"Modifica el Sistema Privado de Salud, incorporando un plan garantizado.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=8105-11,,,,1,,,,,,Segundo Tramite,"0,7",3,,,3,El proyecto de ley asociado se encuentra en segundo trámite constitucional
35,Salud,Plan Universal de Salud.,"Crearemos un Plan Universal de Salud, un sistema de Compensación por Riesgos Sanitarios ",70%,8105-11,"Modifica el Sistema Privado de Salud, incorporando un plan garantizado.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=8105-11,,,,1,,,,,,Segundo Tramite,"0,7",3,,,3,El proyecto de ley asociado se encuentra en segundo trámite constitucional
36,Trabajo y Previsión Social,Reforma al sistema de pensiones.,"Reformaremos el sistema de pensiones para lograr, en forma progresiva, que todos los chilenos tengan una jubilación digna, a través del incremento de las cotizaciones, reconociendo el esfuerzo individual y respetando los derechos de los trabajadores sobre su ahorro previsional.",40%,12212-13,"Mejora pensiones del
 sistema de pensiones
 solidarias y del sistema de
 pensiones de capitalización
 individual, crea nuevos
 beneficios de pensión para
 la clase media y las
 mujeres, crea un subsidio y
 seguro de dependencia, e
 introduce modificaciones en
 los cuerpos legales que
 indica",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12212-13,1,,,,,,,,,Primer Tramite,"0,4",5,,1,6,El proyecto de ley asociado se encuentra en primer trámite constitucional
37,Trabajo y Previsión Social,Incorporacion de los trabajadores independientes al sistema previsional y de protección social,"Enviaremos un Proyecto de Ley que permita la incorporación real y progresiva de los trabajadores independientes y de los micro, pequeños y medianos empresarios al sistema previsional y de protección social.",100%,12002-13,"Modifica las normas para la
 incorporación de los
 trabajadores a honorarios
 del sector público y privado
 e independientes a los
 regímenes de protección
 social.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12002-13,,,,,,,,1,,Promulgado,1,,7,3,10,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
38,Seguridad Ciudadana,Modernizacion Ley de Inteligencia,"Modernizaremos la Ley de Inteligencia, creando una comunidad de inteligencia con equipos estables del Gobierno, las Fuerzas Armadas, la PDI y Carabineros, que permita una acción eficaz ante las nuevas amenazas internas y externas, incorporando un Centro de Fusión de Datos contra el Terrorismo, un Departamento de Protección de la Infraestructura Crítica y mayor colaboración de la ciudadanía e internacional en el campo de la información.",40%,12234-02,"Fortalece y moderniza el
 sistema de inteligencia del
 Estado.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12234-02,1,,,,,,,,,Primer Tramite,"0,4",3,,,3,El proyecto de ley asociado se encuentra en primer trámite constitucional
