uid,area,titulo,promesa,avance,coherencia,boletin,titulo_del_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprob_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
24,Democracia,Envía proyecto de Voto en el extranjero,Hemos enviado un proyecto al Congreso Nacional para permitir el voto de los chilenos que viven en el extranjero y que mantienen un vínculo con Chile. Esperamos que pronto alcancemos un consenso que transforme en ley esta aspiración,40%,4,7335-07,Sobre voto de chilenos en el extranjero,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7730&prmBoletin=7335-07,1,,,,,,,,,Primer Tramite,"0,4",4,1,,5,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
25,Democracia,Propone la iniciativa popular de ley,"También es importante aumentar los grados de participación, para eso hemos propuesto la iniciativa popular de ley",40%,4,7206-07,Establece la iniciativa ciudadana de ley,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7604&prmBoletin=7206-07,1,,,,,,,,,Primer Tramite,"0,4",1,,,1,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
26,Democracia,Facilita los plebiscitos comunales,Facilitar los plebiscitos comunales,70%,1,7308-06,Sobre plebiscito y consultas de carácter comunal,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7700&prmBoletin=7308-06,,,,1,,,,,,Segundo Tramite,"0,7",6,7,2,15,1,,,,1,,"Se aumenta a 10% de los habitantes habilitados para votar en la comuna, lo que vuelve más difícil el requisito que la actual legislación",El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
27,Democracia,Envía proyecto de ley de primarias voluntarias,En los próximos meses enviaremos los proyectos de ley de primarias voluntarias y vinculantes para seleccionar los candidatos,70%,4,7911-06,"Establece el Sistema de Elecciones Primarias para la nominación de candidatos a Presidente de la República, Parlamentarios y Alcaldes",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8304&prmBoletin=7911-06,,,,1,,,,,,Segundo Tramite,"0,7",,11,1,12,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
28,Democracia,Crea una nueva ley de partidos políticos,"Una nueva ley de partidos políticos, que los haga más democráticos, transparentes y participativos",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
35,Deportes,Crea el Ministerio del Deporte en Chile,Hemos decidido enviar a este Congreso un proyecto de ley que creará el Ministerio del Deporte en Chile,40%,4,8085-29,Crea el Ministerio del Deporte,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8484&prmBoletin=8085-29,1,,,,,,,,,Primer Tramite,"0,4",4,,,4,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
21,Desarrollo Social,Crea la política de Ingreso ético familiar,Hemos puesto en marcha una nueva política: el Ingreso ético familiar,70%,4,7992-06,Crea el ingreso Ético Familiar,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8388&prmBoletin=7992-06,,,,1,,,,,,Segundo Tramite,"0,7",,4,6,10,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
22,Desarrollo Social,Aprobar el nuevo Ministerio de Desarrollo Social,"Queremos invitar a los diputados a aprobar cuanto antes el nuevo Ministerio de Desarrollo Social, ya aprobado en el Senado, y que liderará la lucha contra la pobreza y las desigualdades excesivas",100%,4,7196-06,Crea el Ministerio de Desarrollo Social,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7623&prmBoletin=7196-06,,,,,,,,1,,Promulgado,1,4,7,,11,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
38,Desarrollo Social,Perfecciona legislación familiar y las normas sobre cuidado compartido de los hijos por padres separados,"Estamos perfeccionando nuestra legislación familiar y las normas sobre cuidado compartido de los hijos por padres separados, para buscar fórmulas más armoniosas, poniendo siempre por delante el interés superior de los hijos",70%,4,5917-18,"Introduce modificaciones en el Código Civil y en otros cuerpos legales, con el objeto de proteger la integridad del menor en caso de que sus padres vivan separados",https://www.camara.cl/pley/pley_detalle.aspx?prmID=6301&prmBoletin=5917-18,,,,1,,,,,,Segundo Tramite,"0,7",7,4,,11,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
40,Desarrollo Social,Presenta proyecto de ley que modifica la sociedad conyugal,"Presentamos a este Congreso el proyecto de ley que modifica la sociedad conyugal, reconoce la plena capacidad de la mujer en la administración de sus bienes, asegura una efectiva igualdad entre ambos cónyuges y garantiza una adecuada protección económica para la mujer",40%,4,7567-07,"Modifica Código Civil y otras leyes, regulando el régimen patrimonial de sociedad conyugal",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7957&prmBoletin=7567-07,1,,,,,,,,,Primer Tramite,"0,4",7,6,,13,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
