uid,area,titulo,promesa,avance,coherencia,boletin,titulo_del_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprob_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
15,Salud,Impulsa Ley de Derecho y Deberes del Paciente,Impulso a la Ley de Derecho y Deberes del Paciente,100%,4,4398-11,Regula los derechos y deberes que tienen las personas en relación con acciones vinculadas a su atención en salud,https://www.camara.cl/pley/pley_detalle.aspx?prmID=4785&prmBoletin=4398-11,,,,,,,,1,,Promulgado,1,,9,,9,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
16,Salud,Crea mayores opciones para la venta de remedios,Las mayores opciones para la venta de remedios que no requieren receta y que permitirán una reducción estimada de 25 por ciento en su precio,40%,4,7274-11,Autoriza la venta de medicamentos que tengan la condición de venta directa en establecimientos comerciales que cumplan los requisitos que indica,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7674&prmBoletin=7274-11,1,,,,,,,,,Primer Tramite,"0,4",9,5,2,16,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
17,Salud,Crea la nueva Ley de Fármacos,"La nueva Ley de Fármacos, que exigirá el nombre genérico de los medicamentos y su venta en dosis unitarias, para abaratar su costo y comprar sólo lo que se necesita",40%,4,6523-11,Modifica el Código Sanitario en materia de regulación a las farmacias,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6917&prmBoletin=6523-11,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
18,Salud,Crea la nueva Ley de Fármacos,"La nueva Ley de Fármacos, que exigirá el nombre genérico de los medicamentos y su venta en dosis unitarias, para abaratar su costo y comprar sólo lo que se necesita",40%,4,6037-11,Regula los incentivos comerciales a la venta de medicamentos que se expenden bajo receta médica,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6420&prmBoletin=6037-11,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
19,Salud,Crea la nueva Ley de Fármacos,"La nueva Ley de Fármacos, que exigirá el nombre genérico de los medicamentos y su venta en dosis unitarias, para abaratar su costo y comprar sólo lo que se necesita",40%,4,6331-11,Establece un precio fijo de venta para los productos farmacéuticos que componen el Formulario Nacional de Medicamentos,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6720&prmBoletin=6331-11,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
20,Salud,Envía Ley corta de Isapres,"Enviamos la ley corta de isapres, que fija criterios de razonabilidad a los mecanismos de ajuste y evita diferencias excesivas de precios por sexo y edad de los planes de salud. Este proyecto será complementado con una iniciativa que definirá un plan garantizado de salud y un mecanismo solidario de financiamiento, para todos los usuarios de isapres",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
5,Seguridad Ciudadana,Aumenta la dotación de Carabineros en diez mil efectivos y PDI en mil detectives,"Y para superar el déficit de nuestras policías, estamos aumentando la dotación de Carabineros en diez mil efectivos y la dotación de la PDI en mil detectives, los cuales estarán en las calles protegiendo a la gente inocente",100%,3,6962-02,Aumenta las plantas de Personal de Carabineros de Chile,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7358&prmBoletin=6962-02,,,,,,,,1,,Promulgado,1,,8,,8,,,1,,3,,"La dotación aumentó en 7.774 cupos para ingresar a Carabineros, la recontratación se cumplió",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es parcialmente coherente con la promesa realizada
6,Seguridad Ciudadana,Sanciona a conductores reincidentes en estado de ebriedad con la pérdida definitiva de su carné de chofer,"Por eso presentamos un plan integral contra el alcoholismo y la droga, con metas y plazos exigentes, que incluye que toda persona que reincida en conducir en estado de ebriedad perderá definitivamente su carné de chofer",100%,4,7652-15,"Modifica ley N° 18.290, aumentando las sanciones por manejo en estado de ebriedad, bajo la influencia de sustancias estupefacientes o sicotrópicas, y bajo la influencia del alcohol",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8043&prmBoletin=7652-15,,,,,,,,1,,Promulgado,1,,7,4,11,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
7,Seguridad Ciudadana,Crea el uso del brazalete electrónico,"La utilización de nuevas tecnologías, como el uso del brazalete electrónico",70%,4,5838-07,"Modifica la ley N° 18.216, que establece medidas alternativas a las penas privativas o restrictivas de libertad.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=6214&prmBoletin=5838-07,,,,1,,,,,,Segundo Tramite,"0,7",19,20,6,45,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
2,Trabajo y Previsión Social,Perfecciona la justicia laboral,Seguiremos avanzando en perfeccionar la justicia laboral,0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
3,Trabajo y Previsión Social,Reforma la Superintendencia de Seguridad Social,Enviaremos al Congreso el proyecto de reforma a la Superintendencia de Seguridad Social,70%,4,7829-13,"Crea la Intendencia de Seguridad y Salud en el Trabajo, fortalece el rol de la Superintendencia de Seguridad Social y actualiza sus atribuciones y funciones",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8222&prmBoletin=7829-13,,,,1,,,,,,Segundo Tramite,"0,7",,11,,11,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
4,Trabajo y Previsión Social,Modifica Ley de Accidentes del Trabajo y reforma modelo de fiscalización,Enviaremos los proyectos que modifican la Ley de Accidentes del Trabajo y reforman el modelo de fiscalización,0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
55,Transporte y Telecomunicaciones,Impulsa un sistema con puntaje para las licencias de conducir,Estamos impulsando un sistema con puntaje para las licencias de conducir,70%,4,3376-15,"Modifica la ley 18.290, sobre ley de transito y crea el sistema de licencias de conducir con puntaje",https://www.camara.cl/pley/pley_detalle.aspx?prmID=3695&prmBoletin=3376-15,,,,1,,,,,,Segundo Tramite,"0,7",1,,,1,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
56,Transporte y Telecomunicaciones,Crea Superintendencia de Telecomunicaciones,Crearemos una Superintendencia de Telecomunicaciones,40%,4,8034-15,Crea la Superintendencia de Telecomunicaciones,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8428&prmBoletin=8034-15,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
57,Transporte y Telecomunicaciones,Aprueba ley de TV digital,"Aprobaremos una ley de TV digital, que permita una cobertura gratuita de alta definición en todo Chile",70%,3,6190-19,Permite la introducción de la televisión digital terrestre,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6579&prmBoletin=6190-19,,,,1,,,,,,Segundo Tramite,"0,7",11,27,,38,,,1,,3,,No garantiza acceso gratuito al servicio,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
58,Transporte y Telecomunicaciones,Crea ley de antenas que regule su instalación,La ley de antenas regulará su instalación y protegerá la salud y los derechos de los vecinos,90%,4,4991-15,Regula instalación de antenas emisoras y transmisoras de servicios de telecomunicaciones.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5379&prmBoletin=4991-15,,,,,,,1,,,Aprobación Presidencial,"0,9",1,8,,9,,,,1,4,,,El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es totalmente coherente con la promesa realizada
59,Transporte y Telecomunicaciones,Avanza en portabilidad numérica,Estamos avanzando en la portabilidad numérica,100%,4,6964-15,Crea un Organismo Administrador para la Implementación de la portabilidad numérica,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7357&prmBoletin=6964-15,,,,,,,,1,,Promulgado,1,1,3,1,5,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
70,,,,47%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
